"Sample","LipidScore","T_cell_exhaustion","Cytotoxic","IFN_gamma","MDSC","Treg"
"TCGA.3B.A9HO.01A.11R.A38C.07",-0.660082885060271,0.882767615912549,0.820533523803609,0.879289463060153,0.682730385597978,0.473454691562975
"TCGA.DX.A6BE.01A.41R.A32Q.07",-0.86708065607409,0.793764168814633,0.708735753548027,0.710164280612403,0.473023479818315,0.750357120675734
"TCGA.3B.A9HS.01A.11R.A39D.07",0.258743137375456,0.773037722135907,0.679575168473029,0.595924609070831,0.54453349870376,0.756428441045991
"TCGA.DX.A2J0.01A.11R.A21T.07",0.0976617551365148,-0.384394759820584,-0.672246203534052,-0.212294610390649,-0.738374700947809,0.130689943045023
"TCGA.DX.A23Y.01A.11R.A27Q.07",1.14629776366222,0.872736871525729,0.807919101138534,0.900251544983075,0.328565062593485,0.721093438588298
"TCGA.DX.A6BH.01A.12R.A30C.07",-0.545533935414734,-0.104813053800385,-0.524228988433593,0.450122201615605,-0.65238183963729,0.161232221601143
"TCGA.DX.A3LY.01B.11R.A27Q.07",0.0528173299937347,-0.00600470339857201,0.524067168253899,-0.775472811403373,0.77541767592075,-0.138990588123034
"TCGA.DX.A3LS.01A.11R.A21T.07",0.553289096760032,0.509704667556908,0.528213409521443,0.487841992484705,0.140168055740553,0.57645487857897
"TCGA.DX.A240.01A.32R.A27Q.07",-0.537603961420199,-0.858327381137232,-0.798490282589026,-0.578195365978824,-0.557738469928887,-0.802124091671325
"TCGA.DX.A3U6.01A.11R.A29R.07",-0.529185446296375,0.876028694761032,0.918046023415422,0.872767926461911,0.168425020201196,0.842276877212595
"TCGA.DX.A1L4.01A.12R.A26T.07",-0.316467417046991,0.368145160827962,0.240676663450392,-0.531532553931765,0.602076120860098,0.764733248348345
"TCGA.DX.A6BG.01A.11R.A30C.07",-0.194262645250526,0.704487567111515,0.737213130027018,0.85609142573212,-0.0745567495806648,0.646792124712751
"TCGA.DX.A7ES.01A.31R.A39D.07",-0.420776356667668,0.577528648178628,0.835936772149933,0.516823001135672,0.213716074182921,0.358269672691137
"TCGA.DX.AB2S.01A.11R.A39D.07",-0.464579120667172,0.91152448681718,0.892580975746095,0.830657432998975,0.481216396961576,0.85072355754301
"TCGA.DX.A1KY.01A.11R.A24X.07",0.12041042533195,-0.8490109002826,-0.925312878482035,-0.73326915313189,-0.685143779889448,-0.824451897397677
"TCGA.3B.A9HL.01A.11R.A38C.07",1.05153917981539,-0.808964669528139,-0.479596805722953,-0.799944101114872,-0.238041638762848,-0.283476925131904
"TCGA.DX.A23R.01A.11R.A26T.07",0.573548579745478,-0.45574659291747,-0.725519522616828,-0.188151172069882,-0.594450089523264,-0.679335817019104
"TCGA.DX.A6BF.01A.11R.A30C.07",-0.586657626942972,0.522109266336493,0.839942858917425,0.511167554617479,0.726975091404513,0.635736910750885
"TCGA.DX.A2J4.01A.32R.A21T.07",-0.743765480863116,0.63609825781808,0.618614328747555,0.496142097932895,0.589772471607528,0.0557161078453507
"TCGA.DX.A3M1.01A.11R.A22K.07",-0.222644513275282,-0.48025482624492,-0.0233533120089439,0.307921542488554,-0.372746813204792,-0.449491201618946
"TCGA.3R.A8YX.01A.11R.A37L.07",1.04779554718572,-0.171052703507263,-0.725909133256731,-0.301542102932915,-0.5560213651326,-0.513135830072666
"TCGA.FX.A3NK.01A.11R.A21T.07",-0.122270066548294,-0.610801521395423,-0.678748910884964,-0.667028974255458,-0.497809429652456,0.121203651947084
"TCGA.FX.A2QS.01A.11R.A21T.07",0.142025848563409,0.229172333100078,-0.57252385649352,0.428039500716277,-0.156176867591051,-0.116431147159638
