"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",199,-0.458619459566678,-1.49073526472784,3.65385043322595e-05,0.000166084110601179,0.000166084110601179,2189,"tags=33%, list=6%, signal=31%","SELL/MAPKAPK2/TNFRSF8/ICOS/IL1R2/P2RX4/PLSCR1/GATA1/PLEC/PTRH2/SLC1A5/RRAGD/SYNGR2/NDRG1/CCND2/XBP1/LIF/MYC/MYO1E/RNH1/PUS1/ITGAV/P4HA1/ALCAM/F2RL2/CKAP4/TNFRSF9/CDKN1C/FAH/PLIN2/IFITM3/CD86/PNP/MAP3K8/SLC39A8/NT5E/CTLA4/GPR65/GADD45B/SLC2A3/RHOH/IL18R1/CD48/CXCL10/SMPDL3A/ECM1/HOPX/HK2/GALM/GSTO1/LTB/BATF3/IL1RL1/SPP1/MUC1/TNFRSF18/CST7/CTSZ/TNFSF11/BATF/PTGER2/CD44/IL2RA/CAPG/CDCP1",0.557332238758646
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,0.545797051949496,1.28480785095484,0.0269430051813472,0.0769199421940723,0.0769199421940723,6936,"tags=60%, list=19%, signal=49%","PPARG/TGFBR3/SMAD3/PLPP3/LDLR/CDON/LAMC1/NFIB/ADGRL2/ZMIZ1/DLC1/ADD3/RXRA/FYN/HAS2/CACNA1A/GRK5/TFPI/PTPRM/ATP2B4/MAGI2/APBB2/MAP1B/SYNE1/TOGARAM1/MGLL/CDKN1B/SCAF8/IGFBP5/PRKCE/CITED2/ARHGEF9/DYRK1A/PRKAR2B/VLDLR/AMPH/KALRN/CAV1/BMPR1A/NOTCH2/MET/NIPBL/PIK3R3/NR3C1/TJP1/NRP1/YTHDC1/PHF3/MTA1/DDAH1/PLCB4/CELF2/PIAS3/ATRN/AGGF1/FBLN5/INPP4B/MAPK14/SCHIP1/CDK13/CDC42BPA/NEK7/ACVR2A/INSIG1/BCKDHB/CCN1/PRDM2/KIT/FZD2/ADORA2B/DUSP1/AKT3/PTPN21/NFKB1/COL3A1/RBPMS/SPOP/NR1D2/WDR37/ATP2C1/ERBB2/DAB2/IRS1/SMAD7/MMP16/COL5A2/PMP22",0.282013350011725
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",32,0.636405360541079,1.28102167708363,0.112845138055222,0.256466222852777,0.256466222852777,3499,"tags=41%, list=10%, signal=37%","HES1/DTX4/NOTCH1/FZD7/DLL1/JAG1/LFNG/NOTCH3/NOTCH2/DTX1/TCF7L2/MAML2/PPARD",0.142056643575821
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.450259665351719,-1.25737168961302,0.0696791281304684,0.174197820326171,0.174197820326171,5057,"tags=52%, list=14%, signal=45%","TBRG4/WDR43/BYSL/WDR74/RCL1/PPRC1/TFB2M/RRP12/AIMP2/MCM5/PRMT3/SRM/MRTO4/NOP56/EXOSC5/SORD/GNL3/IMP4/NPM1/CDK4/NIP7/DUSP2/NOP16/RRP9/MYC/PA2G4/PUS1/HSPE1/PES1/HK2",0.287805130535564
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",200,0.517188997164927,1.23065824252714,0.0404858299595142,0.106541657788195,0.106541657788195,7124,"tags=40%, list=19%, signal=32%","CD36/FABP4/PPARG/LIFR/LIPE/GPX3/SPARCL1/ENPP2/CAVIN2/LAMA4/LPL/SCARB1/CDKN2C/COL15A1/SORBS1/FZD4/ITIH5/ANGPTL4/EPHX2/CCNG2/BAZ2A/CYP4B1/LPCAT3/MGLL/ADIPOQ/COL4A1/STOM/TOB1/HSPB8/RNF11/PPP1R15B/MAP4K3/SOWAHC/ACADS/ADCY6/DLAT/PHLDB1/IDH3A/ALDH2/IFNGR1/CD302/ACLY/DBT/SLC27A1/ITSN1/OMD/ATL2/ACO2/ACADM/SCP2/COQ9/UBQLN1/GPHN/COQ3/ACOX1/GPAT4/ADIPOR2/PTCD3/ABCA1/SNCG/GPAM/PDCD4/ELMOD3/CRAT/RREB1/CS/G3BP2/DLD/REEP6/NMT1/DHRS7B/ARL4A/ACADL/MYLK/ECH1/MTARC2/PEMT/PFKL/CPT2/AGPAT3",0.224966093540314
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",200,-0.377735716590158,-1.21305460888425,0.0150759248309708,0.0538425886820386,0.0538425886820386,3253,"tags=36%, list=9%, signal=33%","PGLS/IDH1/PGM2/B3GAT3/ALG1/QSOX1/ANKZF1/B4GALT1/TGFA/PPFIA4/PPIA/HSPA5/POLR3K/CASP6/MPI/SDC1/NDST3/GFUS/AKR1A1/B4GALT7/HDLBP/PGK1/KDELR3/PDK3/PLOD1/UGP2/P4HA2/PGAM1/PRPS1/GMPPA/GMPPB/CXCR4/TPBG/SAP30/RRAGD/GUSB/EFNA3/NOL3/SPAG4/ALDOA/ME1/TPI1/IRS2/DSC2/LHPP/PAM/GALE/GAL3ST1/P4HA1/FAM162A/GLRX/ANG/IDUA/ERO1A/IL13RA1/TXN/TALDO1/PFKP/NT5E/G6PD/ENO2/ENO1/IER3/HK2/PLOD2/PYGL/CHST6/PKM/LDHA/SLC16A3/TGFBI/CD44",0.380730400722792
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,-0.368182797776326,-1.19677233283977,0.0242889009079995,0.0759028153374983,0.0759028153374983,2852,"tags=32%, list=8%, signal=30%","B4GALT1/RCAN1/IL15RA/GEM/NFKBIE/SDC4/PLEK/NAMPT/TNIP1/TNFAIP8/SAT1/TGIF1/CXCL1/CD80/CXCL3/NFKB2/NINJ1/OLR1/RELB/LAMB3/DUSP2/IRS2/BCL3/LIF/MYC/DUSP4/ZC3H12A/GFPT2/PANX1/PFKFB3/FOSL2/TNFRSF9/CD69/MAP3K8/SERPINB8/SERPINB2/CXCL6/GADD45B/SLC2A3/TNC/GPR183/CXCL11/F2RL1/CCL20/CXCL10/IER3/CEBPB/TLR2/FOSL1/IL18/MSC/KYNU/BCL2A1/FJX1/SERPINE1/IL7R/F3/SPHK1/PHLDA2/PLAU/CCL5/CD44/INHBA/PLAUR",0.352487857583619
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",200,-0.369126113368739,-1.18540586292323,0.0224360231591696,0.0747867438638988,0.0747867438638988,1899,"tags=26%, list=5%, signal=25%","CXCR4/TLR8/DOCK2/SCG5/CFH/SPON1/CCND2/MAP4K1/LIF/HOXD11/ACE/IKZF1/GFPT2/GLRX/MMP10/ERO1A/PLEK2/SCN1B/LCP1/PSMB8/TMEM176A/MAFB/CTSS/GPNMB/F2RL1/C3AR1/CCL20/CXCL10/ITGB2/TMEM176B/MMP11/KCNN4/FCER1G/LAT2/HSD11B1/LAPTM5/CSF2RA/SPP1/IL2RG/VWA5A/CD37/ADAMDEC1/LY96/TMEM158/IL7R/PDCD1LG2/ADAM8/PLAU/INHBA/ITGBL1/PLAUR/MMP9",0.352487857583619
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,-0.365261469904315,-1.17299500697205,0.027691179189866,0.0769199421940723,0.0769199421940723,4630,"tags=44%, list=13%, signal=38%","AK4/PDAP1/RPN1/CD9/ACTR2/PSMC4/IFI30/NFIL3/EIF2S2/PSMB5/CFP/BHLHE40/CTH/GSR/SLC37A4/LGMN/TBK1/PITPNB/UFM1/MLLT11/EEF1E1/TRIB3/IDH1/SQSTM1/SYTL2/PNO1/PSMA4/GTF2H1/ARPC5L/SLC7A5/YKT6/PPIA/NFKBIB/HSPA5/ATP5MC1/SERPINH1/SORD/TUBA4A/ACTR3/NAMPT/SRD5A1/PGK1/PRDX1/PDK1/ATP6V1D/PSMA3/PPA1/CXCR4/SERP1/SLC1A5/QDPR/ALDOA/ME1/PSMD13/GLA/PSMG1/TPI1/HPRT1/RRP9/XBP1/HMBS/SLC7A11/TFRC/P4HA1/GLRX/HSPE1/SHMT2/DAPP1/GPI/ERO1A/GAPDH/CTSC/PNP/SLC2A1/SLC6A6/BCAT1/G6PD/SLC2A3/SLA/SDF2L1/DDIT3/ENO1/CORO1A/HK2/ITGB2/PLOD2/LDHA",0.352487857583619
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",200,0.486914502823994,1.15861967209497,0.123481781376518,0.268438655166344,0.268438655166344,8457,"tags=52%, list=23%, signal=41%","CD36/TNNT3/CKB/KCNH2/PYGM/CFD/GPX3/MYOM1/GNAO1/CAMK2B/CDH13/BDKRB2/DMD/APOD/ABLIM1/BIN1/FHL1/NOTCH1/GSN/HRC/COL15A1/LAMA2/EPHB3/SORBS1/MEF2A/FABP3/FGF2/EFS/IGFBP3/MYH2/APP/DES/FOXO4/RYR1/HSPB8/NCAM1/SVIL/MYL3/COL4A2/COX7A1/TSC2/HBEGF/CASQ1/VIPR1/MYH1/LARGE1/TPD52L1/DAPK2/AGRN/LSP1/CKM/CDKN1A/SGCG/LDB3/CKMT2/AKT2/SGCD/ATP2A1/SMTN/SCHIP1/ADCY9/SPEG/SOD3/DMPK/SPTAN1/MEF2D/MEF2C/SORBS3/TNNC2/CRAT/PDE4DIP/COL3A1/MYF6/TCAP/AGL/MYL4/CASQ2/ACTN3/APLNR/SH3BGR/MYLK/NQO1/MB/EIF4A2/RB1/MYL1/HDAC5/MYH4/SCD/FLII/CAV3/ITGB1/NAV2/SH2B1/MAPRE3/RIT1/FST/LPIN1/ACTA1/DENND2B/MYOM2/CACNA1H/PTP4A3/CACNG1/KCNH1",0.122679189568808
