"Method","Cutoff","HR","CI_lower","CI_upper","P"
"X-tile optimal",0.767505364784622,0.1413497584479,0.0469707383643742,0.425365981226171,0.000500149807558841
"30th percentile",-0.393078748322201,0.296199264505787,0.0877125331692704,1.00024478969792,0.0500460950934915
"50th percentile",-0.0783181722588851,0.363534863161391,0.152628276262036,0.865878852663448,0.0223016143013492
"70th percentile",0.245627766810401,0.427813512980487,0.188469689502934,0.971107886745129,0.0423503874908857
