"gene","cor_PPARG","log2FC","mean_expr","HR_survival"
"SREBF1",0.0190636254501801,0.0243862294074207,6.54098893643457,0.668518532515632
"SCD",0.0726530612244898,0.226872568186908,6.54674054991989,1.63630706641595
"HMGCR",0.0138775510204082,0.286616698754415,4.94364764893845,1.78549039850631
"ACLY",0.137478991596639,0.144317661078345,7.38602386276483,3.30234159330267
"PPARG",1,0.262603436009536,4.52468164210235,1.31726211792744
"FASN",0.148523409363746,0.184990254933202,6.77588860533883,2.63367905513034
