"Sample","Score"
"GSM528276.CEL.gz",-0.869183721440691
"GSM528277.CEL.gz",-0.456399768244979
"GSM528278.CEL.gz",-0.156546027813598
"GSM528279.CEL.gz",0.348350026314856
"GSM528280.CEL.gz",-0.257200087116495
"GSM528281.CEL.gz",-0.148713820323176
"GSM528282.CEL.gz",0.547142767799264
"GSM528283.CEL.gz",0.0533953792697462
"GSM528284.CEL.gz",0.494000911003689
"GSM528285.CEL.gz",-0.0717580408264533
"GSM528286.CEL.gz",-0.177873223228741
"GSM528287.CEL.gz",0.512766737448925
"GSM528288.CEL.gz",-0.150335646794349
"GSM528289.CEL.gz",0.0754706650764324
"GSM528290.CEL.gz",-0.149734348512993
"GSM528291.CEL.gz",-0.584428392122145
"GSM528292.CEL.gz",0.328188330464775
"GSM528293.CEL.gz",-0.056905702544859
"GSM528294.CEL.gz",0.0848234112579574
"GSM528295.CEL.gz",-0.0349796897053337
"GSM528296.CEL.gz",0.0723011764778677
"GSM528297.CEL.gz",0.299682217203651
"GSM528298.CEL.gz",-0.122896247039533
"GSM528299.CEL.gz",-0.361634189732826
"GSM528300.CEL.gz",0.458433597315878
"GSM528301.CEL.gz",0.230725007821088
"GSM528302.CEL.gz",0.516076697937132
"GSM528303.CEL.gz",-0.532705424277325
"GSM528304.CEL.gz",-0.0232841785075719
"GSM528305.CEL.gz",-0.32413157827676
"GSM528306.CEL.gz",-0.142809548402512
"GSM528307.CEL.gz",-0.667697760359807
"GSM528308.CEL.gz",-0.613558011471615
"GSM528309.CEL.gz",0.0115145983188012
"GSM528310.CEL.gz",-0.0379457021843534
"GSM528311.CEL.gz",0.481599465333234
"GSM528312.CEL.gz",0.227329125287931
"GSM528313.CEL.gz",0.0415554106313751
"GSM528314.CEL.gz",-0.2174668963278
"GSM528315.CEL.gz",0.150628456815441
"GSM528316.CEL.gz",-0.428777751576972
"GSM528317.CEL.gz",0.179017950184593
"GSM528318.CEL.gz",-0.582277145621854
"GSM528319.CEL.gz",-0.696440073109619
"GSM528320.CEL.gz",0.049057173683955
"GSM528321.CEL.gz",-0.376670695453573
"GSM528322.CEL.gz",-0.469583713261355
"GSM528323.CEL.gz",-0.487259580031053
"GSM528324.CEL.gz",0.845759157570038
"GSM528325.CEL.gz",-1.16677154746387
"GSM528326.CEL.gz",-0.730574776512975
"GSM528327.CEL.gz",-0.903079819538779
"GSM528328.CEL.gz",-1.17867354061106
"GSM528329.CEL.gz",-0.11454968867725
"GSM528330.CEL.gz",0.339727784051689
"GSM528331.CEL.gz",-0.644067029232301
"GSM528332.CEL.gz",-0.806034001161998
"GSM528333.CEL.gz",0.294722898416725
"GSM528334.CEL.gz",-0.406615847839125
"GSM528335.CEL.gz",-1.04208445268743
"GSM528336.CEL.gz",-1.11254617989308
"GSM528337.CEL.gz",-0.526741034593858
"GSM528338.CEL.gz",-0.228729586610891
"GSM528339.CEL.gz",-0.631322470691054
"GSM528340.CEL.gz",-0.456995114497118
"GSM528341.CEL.gz",-0.563778687950362
"GSM528342.CEL.gz",-0.322889653876628
"GSM528343.CEL.gz",-0.622734279391478
"GSM528344.CEL.gz",-0.746352148090802
"GSM528345.CEL.gz",-0.830399103628076
"GSM528346.CEL.gz",-0.927958438570387
"GSM528347.CEL.gz",-1.09288215428375
"GSM528348.CEL.gz",1.20685153576696
"GSM528349.CEL.gz",-0.15037223106252
"GSM528350.CEL.gz",-0.0387079585642508
"GSM528351.CEL.gz",0.248477156033923
"GSM528352.CEL.gz",-0.152170652407579
"GSM528353.CEL.gz",0.64034796383838
"GSM528354.CEL.gz",-0.174245653532881
"GSM528355.CEL.gz",-0.0561784405084295
"GSM528356.CEL.gz",-0.834313086193576
"GSM528357.CEL.gz",-0.428149973549903
"GSM528358.CEL.gz",-0.260884052649477
"GSM528359.CEL.gz",-0.128969549456641
"GSM528360.CEL.gz",-0.216388609209725
"GSM528361.CEL.gz",0.147325630554061
"GSM528362.CEL.gz",0.696112854634972
"GSM528363.CEL.gz",-0.280569632498073
"GSM528364.CEL.gz",0.0677633989618856
"GSM528365.CEL.gz",0.386417680927975
"GSM528366.CEL.gz",0.262939819593672
"GSM528367.CEL.gz",-0.0747849368233439
"GSM528368.CEL.gz",-0.0798469835198605
"GSM528369.CEL.gz",0.230490086422679
"GSM528370.CEL.gz",-0.299296965044245
"GSM528371.CEL.gz",-0.208751889231357
"GSM528372.CEL.gz",0.429769434105608
"GSM528373.CEL.gz",-0.176457066109986
